ALERT,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP,SAR,record_id
1,1,22000.0,27,800,NJ,36,41.59,1497.24, ,14,1,0,41.19,0,6,74.86,0.0,0,1,1,32.77,0,14000,0,3,0,8,0,0,0,30331173
1,1,13200.0,10,693,NY,1,16.72,16.72,transfer late payment password change,1,0,0,0.0,0,4,60.0,43.28,1,1,1,89.71,0,9000,1,3,0,7,1,0,0,81532207
1,2,56200.0,4,728,CT,8,139.53,1116.24, ,4,1,0,140.85,0,3,1116.24,0.0,0,1,1,45.12,1,23000,0,2,0,15,1,0,0,71003060
1,0,19500.0,46,705,ME,9,139.99,1259.91, ,4,2,0,280.26,2,3,1259.91,0.0,0,1,1,28.24,3,10000,1,0,0,5,1,0,0,18282386
1,1,114800.0,9,684,NY,13,38.36,498.68,  card replace plastic replace moneyorder payment,7,0,0,0.0,0,3,3193.66,2694.98,1,1,1,2765.4,3,16000,1,5,0,5,0,0,1,86850285
1,1,18400.0,18,745,NH,1,50.25,50.25,card replace plastic replace password change,1,0,0,0.0,0,4,60.0,9.75,1,1,1,39.52,0,10000,1,3,0,3,2,0,0,30620951
1,0,85000.0,25,694,CT,6,119.45,716.7, ,4,0,0,0.0,0,3,716.7,0.0,0,1,1,51.82,0,14000,1,5,0,10,0,0,0,52836101
1,1,28000.0,16,759,RI,15,220.7,3310.5,customer call customer call card replace,7,1,1,209.0,0,4,3310.5,0.0,0,1,1,31.48,2,17000,1,1,0,6,0,0,0,57732298
1,0,13700.0,11,648,NY,3,33.57,100.71, ,1,0,0,0.0,0,2,100.71,0.0,0,1,1,37.87,0,5000,1,5,0,5,1,0,0,80586269
1,1,76600.0,48,769,MA,5,22.81,114.05, ,1,0,0,0.0,0,4,92.2,0.0,0,1,1,51.71,0,8000,0,1,0,11,0,0,0,50497830
1,1,108300.0,35,736,RI,110,9.99,1098.9,billing address card replace change request,55,9,1,87.56,4,2,60.0,0.0,0,1,1,50.78,0,12000,1,2,0,12,2,0,0,63822357
1,4,14700.0,5,696,NY,9,309.48,2785.32,statement card replace transfer statement,6,0,0,0.0,0,3,139.27,0.0,0,1,1,33.67,0,13000,0,1,0,12,2,0,0,16270243
1,1,19400.0,15,701,MA,61,324.12,19771.32, ,33,3,0,960.24,2,9,22543.22,2771.9,1,1,1,2829.05,9,11000,1,3,0,13,1,0,0,93592200
1,4,7900.0,36,652,RI,2,71.68,143.36, ,2,0,0,0.0,0,3,60.0,0.0,0,1,1,37.3,0,12000,1,3,0,7,1,0,0,39248981
1,3,75300.0,14,649,VT,32,108.49,3471.68,late payment statement late payment,21,2,0,220.38,1,3,3471.68,0.0,0,1,1,23.53,1,13000,0,6,0,6,1,0,0,46930071
1,1,64000.0,58,737,NJ,62,29.16,1807.92,billing address transfer  ,30,5,1,144.88,1,2,90.4,0.0,0,1,1,55.92,0,20000,0,3,0,7,0,0,0,66747675
1,1,48000.0,16,683,RI,5,24.68,123.4, ,0,2,1,50.11,1,3,83.8,0.0,0,1,1,81.82,0,12000,0,3,1,9,2,0,0,66419041
1,2,74100.0,6,672,PA,11,22.21,244.31,"customer call transfer card replace lost cardrefund requested. supply additional details, call back",3,3,0,66.15,1,3,2960.42,2716.11,1,1,1,2775.34,3,8000,1,4,0,6,1,0,1,22206458
1,0,191700.0,46,627,NJ,316,58.18,18384.88, ,154,32,9,1893.55,12,4,18384.88,0.0,0,1,1,34.12,4,7000,1,2,0,7,2,0,1,27815766
